"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"Capitaux Propres (Classe 1)","","1-CP","",1,"","Equity","TND"
"Passifs Non Courants (Classe 1)","","1-PNC","",1,"","Liability","TND"
"Actifs Non Courants (Classe 2)","","2","",1,"","Asset","TND"
"Stocks (Classe 3)","","3","",1,"Stock","Asset","TND"
"Comptes de Tiers - Actif (Classe 4)","","4-A","",1,"","Asset","TND"
"Comptes de Tiers - Passif (Classe 4)","","4-P","",1,"","Liability","TND"
"Comptes Financiers - Actif (Classe 5)","","5-A","",1,"","Asset","TND"
"Comptes Financiers - Passif (Classe 5)","","5-P","",1,"","Liability","TND"
"Charges (Classe 6)","","6","",1,"","Expense","TND"
"Produits (Classe 7)","","7","",1,"","Income","TND"
"Capital - 10","Capitaux Propres (Classe 1)","10","1-CP",1,"","Equity","TND"
"Réserves et primes liées au capital - 11","Capitaux Propres (Classe 1)","11","1-CP",1,"","Equity","TND"
"Résultats reportés - 12","Capitaux Propres (Classe 1)","12","1-CP",1,"","Equity","TND"
"Résultat de l'exercice - 13","Capitaux Propres (Classe 1)","13","1-CP",1,"","Equity","TND"
"Autres capitaux propres - 14","Capitaux Propres (Classe 1)","14","1-CP",1,"","Equity","TND"
"Provisions pour risques & charges - 15","Passifs Non Courants (Classe 1)","15","1-PNC",1,"","Liability","TND"
"Emprunts & dettes assimilées - 16","Passifs Non Courants (Classe 1)","16","1-PNC",1,"","Liability","TND"
"Comptes de liaison des établissements & succursales - 17","Passifs Non Courants (Classe 1)","17","1-PNC",1,"","Liability","TND"
"Autres passifs non courants - 18","Passifs Non Courants (Classe 1)","18","1-PNC",1,"","Liability","TND"
"Capital social - 101","Capital - 10","101","10",1,"","Equity","TND"
"Capital souscrit - appelé, versé - 1013","Capital social - 101","1013","101",1,"","Equity","TND"
"Capital non amorti - 10131","Capital souscrit - appelé, versé - 1013","10131","1013",0,"Equity","Equity","TND"
"Capital amorti - 10132","Capital souscrit - appelé, versé - 1013","10132","1013",0,"Equity","Equity","TND"
"Capital souscrit - non appelé - 1011","Capital social - 101","1011","101",0,"Equity","Equity","TND"
"Capital souscrit - appelé, non versé - 1012","Capital social - 101","1012","101",0,"Equity","Equity","TND"
"Capital souscrit soumis à une réglementation particulière - 1018","Capital social - 101","1018","101",0,"Equity","Equity","TND"
"Fonds de dotation - 105","Capital - 10","105","10",0,"Equity","Equity","TND"
"Compte de l'exploitant - 108","Capital - 10","108","10",0,"Equity","Equity","TND"
"Actionnaires, capital souscrit - non appelé - 109","Capital - 10","109","10",0,"Equity","Equity","TND"
"Primes liées au capital - 117","Réserves et primes liées au capital - 11","117","11",1,"","Equity","TND"
"Primes d'émission - 1171","Primes liées au capital - 117","1171","117",0,"Equity","Equity","TND"
"Primes de fusion - 1172","Primes liées au capital - 117","1172","117",0,"Equity","Equity","TND"
"Primes d'apport - 1173","Primes liées au capital - 117","1173","117",0,"Equity","Equity","TND"
"Primes de conversion d'obligation - 1174","Primes liées au capital - 117","1174","117",0,"Equity","Equity","TND"
"Autres compléments d'apport - 1178","Primes liées au capital - 117","1178","117",0,"Equity","Equity","TND"
"Autres réserves - 118","Réserves et primes liées au capital - 11","118","11",1,"","Equity","TND"
"Réserves pour fonds social - 1181","Autres réserves - 118","1181","118",0,"Equity","Equity","TND"
"Réserve légale - 111","Réserves et primes liées au capital - 11","111","11",0,"Equity","Equity","TND"
"Réserves statutaires - 112","Réserves et primes liées au capital - 11","112","11",0,"Equity","Equity","TND"
"Avoirs des actionnaires - 119","Réserves et primes liées au capital - 11","119","11",0,"Equity","Equity","TND"
"Résultats reportés - 121","Résultats reportés - 12","121","12",0,"Equity","Equity","TND"
"Modifications comptables affectant les résultats reportés - 128","Résultats reportés - 12","128","12",0,"Equity","Equity","TND"
"Résultat bénéficiaire - 131","Résultat de l'exercice - 13","131","13",0,"Equity","Equity","TND"
"Résultat déficitaire - 135","Résultat de l'exercice - 13","135","13",0,"Equity","Equity","TND"
"Titres soumis à des réglementations particulières - 141","Autres capitaux propres - 14","141","14",0,"Equity","Equity","TND"
"Réserves réglementées & réserves soumises à un régime fiscal particulier - 142","Autres capitaux propres - 14","142","14",1,"","Equity","TND"
"Réserves indisponibles - 1421","Réserves réglementées & réserves soumises à un régime fiscal particulier - 142","1421","142",0,"Equity","Equity","TND"
"Amortissements dérogatoires - 143","Autres capitaux propres - 14","143","14",0,"Equity","Equity","TND"
"Réserve spéciale de réévaluation - 144","Autres capitaux propres - 14","144","14",0,"Equity","Equity","TND"
"Subventions d'investissement - 145","Autres capitaux propres - 14","145","14",1,"","Equity","TND"
"Subventions d'investissement - 1451","Subventions d'investissement - 145","1451","145",0,"Equity","Equity","TND"
"Autres subventions d'investissement - 1458","Subventions d'investissement - 145","1458","145",0,"Equity","Equity","TND"
"Subventions d'investissement inscrites aux comptes de résultat - 1459","Subventions d'investissement - 145","1459","145",0,"Equity","Equity","TND"
"Compte du concédant - 147","Autres capitaux propres - 14","147","14",0,"Equity","Equity","TND"
"Provisions pour risques - 151","Provisions pour risques & charges - 15","151","15",1,"","Liability","TND"
"Provisions pour litiges - 1511","Provisions pour risques - 151","1511","151",0,"Liability","Liability","TND"
"Provisions pour garanties données aux clients - 1512","Provisions pour risques - 151","1512","151",0,"Liability","Liability","TND"
"Provisions pour pertes sur marchés à achèvement futur - 1513","Provisions pour risques - 151","1513","151",0,"Liability","Liability","TND"
"Provisions pour amendes & pénalités - 1514","Provisions pour risques - 151","1514","151",0,"Liability","Liability","TND"
"Provisions pour pertes de change - 1515","Provisions pour risques - 151","1515","151",0,"Liability","Liability","TND"
"Autres provisions pour risques - 1518","Provisions pour risques - 151","1518","151",0,"Liability","Liability","TND"
"Provisions pour charges à répartir sur plusieurs exercices - 152","Provisions pour risques & charges - 15","152","15",1,"","Liability","TND"
"Provisions pour grosses réparations - 1522","Provisions pour charges à répartir sur plusieurs exercices - 152","1522","152",0,"Liability","Liability","TND"
"Provisions pour retraites et obligations similaires - 153","Provisions pour risques & charges - 15","153","15",0,"Liability","Liability","TND"
"Provisions d'origine réglementaire - 154","Provisions pour risques & charges - 15","154","15",0,"Liability","Liability","TND"
"Provisions pour impôts - 155","Provisions pour risques & charges - 15","155","15",0,"Liability","Liability","TND"
"Provisions pour renouvellement des immobilisations - 156","Provisions pour risques & charges - 15","156","15",0,"Liability","Liability","TND"
"Provisions pour amortissement - 157","Provisions pour risques & charges - 15","157","15",0,"Liability","Liability","TND"
"Autres provisions pour charges - 158","Provisions pour risques & charges - 15","158","15",0,"Liability","Liability","TND"
"Emprunts obligataires (assorties de sûretés) - 161","Emprunts & dettes assimilées - 16","161","16",1,"","Liability","TND"
"Emprunts obligataires convertibles en actions - 1611","Emprunts obligataires (assorties de sûretés) - 161","1611","161",0,"Liability","Liability","TND"
"Autres emprunts obligataires - 1618","Emprunts obligataires (assorties de sûretés) - 161","1618","161",0,"Liability","Liability","TND"
"Emprunts auprès des établissements financiers (assorties de sûretés) - 162","Emprunts & dettes assimilées - 16","162","16",1,"","Liability","TND"
"Emprunts bancaires - 1621","Emprunts auprès des établissements financiers (assorties de sûretés) - 162","1621","162",0,"Liability","Liability","TND"
"Refinancements acquis - 1626","Emprunts auprès des établissements financiers (assorties de sûretés) - 162","1626","162",0,"Liability","Liability","TND"
"Emprunts auprès d'autres établissements financiers (assorties de sûretés) - 163","Emprunts & dettes assimilées - 16","163","16",0,"Liability","Liability","TND"
"Emprunts et dettes assorties de conditions particulières - 164","Emprunts & dettes assimilées - 16","164","16",1,"","Liability","TND"
"Avances bloquées pour augmentation du capital - 1641","Emprunts et dettes assorties de conditions particulières - 164","1641","164",0,"Liability","Liability","TND"
"Avances reçues et comptes courants des associés bloqués - 1642","Emprunts et dettes assorties de conditions particulières - 164","1642","164",0,"Liability","Liability","TND"
"Avances conditionnées de l'Etat & organismes internationaux - 1644","Emprunts et dettes assorties de conditions particulières - 164","1644","164",0,"Liability","Liability","TND"
"Emprunts non assorties de sûretés (à subdiviser selon l'ordre des comptes des emprunts) - 165","Emprunts & dettes assimilées - 16","165","16",0,"Liability","Liability","TND"
"Dettes rattachées à des participations - 166","Emprunts & dettes assimilées - 16","166","16",1,"","Liability","TND"
"Dettes rattachées à des participations (groupe) - 1661","Dettes rattachées à des participations - 166","1661","166",0,"Liability","Liability","TND"
"Dettes rattachées à des participations (hors groupe) - 1662","Dettes rattachées à des participations - 166","1662","166",0,"Liability","Liability","TND"
"Dettes rattachées à des sociétés en participation - 1663","Dettes rattachées à des participations - 166","1663","166",0,"Liability","Liability","TND"
"Dépôts & cautionnements reçus - 167","Emprunts & dettes assimilées - 16","167","16",0,"Liability","Liability","TND"
"Autres emprunts et dettes - 168","Emprunts & dettes assimilées - 16","168","16",1,"","Liability","TND"
"Autres emprunts - 1681","Autres emprunts et dettes - 168","1681","168",0,"Liability","Liability","TND"
"Crédit fournisseurs d'immobilisations - 1685","Autres emprunts et dettes - 168","1685","168",0,"Liability","Liability","TND"
"Autres dettes non courantes - 1688","Autres emprunts et dettes - 168","1688","168",0,"Liability","Liability","TND"
"Comptes des liaison des établissements - 171","Comptes de liaison des établissements & succursales - 17","171","17",0,"Liability","Liability","TND"
"Biens & prestations de services échangés entre établissements (charges) - 176","Comptes de liaison des établissements & succursales - 17","176","17",0,"Liability","Liability","TND"
"Biens & prestations de services échangés entre établissements (produits) - 177","Comptes de liaison des établissements & succursales - 17","177","17",0,"Liability","Liability","TND"
"Écarts de conversion - 185","Autres passifs non courants - 18","185","18",0,"Liability","Liability","TND"
"Autres - 188","Autres passifs non courants - 18","188","18",0,"Liability","Liability","TND"
"Investissements de recherche & de développement - 211","Immobilisations incorporelles - 21","211","21",0,"Fixed Asset","Asset","TND"
"Concessions de marques, brevets, licences, marques, procédés & valeurs similaires - 212","Immobilisations incorporelles - 21","212","21",0,"Fixed Asset","Asset","TND"
"Logiciels - 213","Immobilisations incorporelles - 21","213","21",0,"Fixed Asset","Asset","TND"
"Fonds commercial - 214","Immobilisations incorporelles - 21","214","21",0,"Fixed Asset","Asset","TND"
"Droit au bail - 216","Immobilisations incorporelles - 21","216","21",0,"Fixed Asset","Asset","TND"
"Autres immobilisations incorporelles - 218","Immobilisations incorporelles - 21","218","21",0,"Fixed Asset","Asset","TND"
"Terrains - 221","Immobilisations corporelles - 22","221","22",1,"","Asset","TND"
"Terrains nus - 2213","Terrains - 221","2213","221",0,"Fixed Asset","Asset","TND"
"Terrains aménagés - 2214","Terrains - 221","2214","221",0,"Fixed Asset","Asset","TND"
"Terrains bâtis - 2215","Terrains - 221","2215","221",0,"Fixed Asset","Asset","TND"
"Agencements & aménagements des terrains - 2216","Terrains - 221","2216","221",0,"Fixed Asset","Asset","TND"
"Constructions - 222","Immobilisations corporelles - 22","222","22",1,"","Asset","TND"
"Bâtiments - 2221","Constructions - 222","2221","222",0,"Fixed Asset","Asset","TND"
"Installations générales, agencements & aménagements des constructions - 2225","Constructions - 222","2225","222",0,"Fixed Asset","Asset","TND"
"Ouvrages d'infrastructure - 2226","Constructions - 222","2226","222",0,"Fixed Asset","Asset","TND"
"Constructions sur sol d'autrui - 2227","Constructions - 222","2227","222",0,"Fixed Asset","Asset","TND"
"Installations techniques, matériel et outillage industriels - 223","Immobilisations corporelles - 22","223","22",1,"","Asset","TND"
"Installations techniques - 2231","Installations techniques, matériel et outillage industriels - 223","2231","223",0,"Fixed Asset","Asset","TND"
"Matériel industriel - 2234","Installations techniques, matériel et outillage industriels - 223","2234","223",0,"Fixed Asset","Asset","TND"
"Outillage industriel - 2235","Installations techniques, matériel et outillage industriels - 223","2235","223",0,"Fixed Asset","Asset","TND"
"Agencements & aménagements du matériel & outillage industriels - 2237","Installations techniques, matériel et outillage industriels - 223","2237","223",0,"Fixed Asset","Asset","TND"
"Matériel de transport - 224","Immobilisations corporelles - 22","224","22",1,"","Asset","TND"
"Matériel de transport de biens - 2241","Matériel de transport - 224","2241","224",0,"Fixed Asset","Asset","TND"
"Matériel de transport de personnes - 2244","Matériel de transport - 224","2244","224",0,"Fixed Asset","Asset","TND"
"Autres immobilisations corporelles - 228","Immobilisations corporelles - 22","228","22",1,"","Asset","TND"
"Installations générales, agencements et aménagements divers - 2281","Autres immobilisations corporelles - 228","2281","228",0,"Fixed Asset","Asset","TND"
"Équipement de bureau - 2282","Autres immobilisations corporelles - 228","2282","228",0,"Fixed Asset","Asset","TND"
"Emballages récupérables identifiables - 2286","Autres immobilisations corporelles - 228","2286","228",0,"Fixed Asset","Asset","TND"
"Immobilisations incorporelles en cours - 231","Immobilisations en cours - 23","231","23",0,"Capital Work in Progress","Asset","TND"
"Immobilisations corporelles en cours - 232","Immobilisations en cours - 23","232","23",0,"Capital Work in Progress","Asset","TND"
"Avances & acomptes versés sur immobilisations incorporelles - 237","Immobilisations en cours - 23","237","23",0,"Capital Work in Progress","Asset","TND"
"Avances & acomptes versés sur commandes d'immobilisations corporelles - 238","Immobilisations en cours - 23","238","23",0,"Capital Work in Progress","Asset","TND"
"Titres de participation - 251","Participations & créances liées à des participations - 25","251","25",1,"","Asset","TND"
"Actions - 2511","Titres de participation - 251","2511","251",0,"Fixed Asset","Asset","TND"
"Autres titres - 2518","Titres de participation - 251","2518","251",0,"Fixed Asset","Asset","TND"
"Autres formes de participation - 256","Participations & créances liées à des participations - 25","256","25",0,"Fixed Asset","Asset","TND"
"Créances rattachées à des participations - 257","Participations & créances liées à des participations - 25","257","25",1,"","Asset","TND"
"Créances rattachées à des participations (groupe) - 2571","Créances rattachées à des participations - 257","2571","257",0,"Fixed Asset","Asset","TND"
"Créances rattachées à des participations (hors groupe) - 2574","Créances rattachées à des participations - 257","2574","257",0,"Fixed Asset","Asset","TND"
"Versements représentatifs d'apports non capitalisés (appel de fonds) - 2575","Créances rattachées à des participations - 257","2575","257",0,"Fixed Asset","Asset","TND"
"Avances consolidables - 2576","Créances rattachées à des participations - 257","2576","257",0,"Fixed Asset","Asset","TND"
"Autres créances rattachées à des participations - 2577","Créances rattachées à des participations - 257","2577","257",0,"Fixed Asset","Asset","TND"
"Créances rattachées à des sociétés en participation - 258","Participations & créances liées à des participations - 25","258","25",0,"Fixed Asset","Asset","TND"
"Versements restant à effectuer sur titres de participation non libérés - 259","Participations & créances liées à des participations - 25","259","25",0,"Fixed Asset","Asset","TND"
"Titres immobilisés (droit de propriété) - 261","Autres immobilisations financières - 26","261","26",1,"","Asset","TND"
"Actions - 2611","Titres immobilisés (droit de propriété) - 261","2611","261",0,"Fixed Asset","Asset","TND"
"Autres titres - 2618","Titres immobilisés (droit de propriété) - 261","2618","261",0,"Fixed Asset","Asset","TND"
"Titres immobilisés (droit de créance) - 262","Autres immobilisations financières - 26","262","26",1,"","Asset","TND"
"Obligations - 2621","Titres immobilisés (droit de créance) - 262","2621","262",0,"Fixed Asset","Asset","TND"
"Bons - 2622","Titres immobilisés (droit de créance) - 262","2622","262",0,"Fixed Asset","Asset","TND"
"Prêts - 264","Autres immobilisations financières - 26","264","26",1,"","Asset","TND"
"Prêts participatifs - 2641","Prêts - 264","2641","264",0,"Fixed Asset","Asset","TND"
"Prêts aux associés - 2642","Prêts - 264","2642","264",0,"Fixed Asset","Asset","TND"
"Prêts au personnel - 2643","Prêts - 264","2643","264",0,"Fixed Asset","Asset","TND"
"Prêts assortis de sûretés (à subdiviser) - 2645","Prêts - 264","2645","264",0,"Fixed Asset","Asset","TND"
"Autres prêts - 2648","Prêts - 264","2648","264",0,"Fixed Asset","Asset","TND"
"Dépôts et cautionnements versés - 265","Autres immobilisations financières - 26","265","26",1,"","Asset","TND"
"Dépôts - 2651","Dépôts et cautionnements versés - 265","2651","265",0,"Fixed Asset","Asset","TND"
"Cautionnements - 2655","Dépôts et cautionnements versés - 265","2655","265",0,"Fixed Asset","Asset","TND"
"Dépôts bancaires non courants - 2656","Dépôts et cautionnements versés - 265","2656","265",0,"Fixed Asset","Asset","TND"
"Autres - 2658","Dépôts et cautionnements versés - 265","2658","265",0,"Fixed Asset","Asset","TND"
"Autres créances immobilisées - 266","Autres immobilisations financières - 26","266","26",1,"","Asset","TND"
"Créances immobilisées - 2661","Autres créances immobilisées - 266","2661","266",0,"Fixed Asset","Asset","TND"
"Créances diverses - 2667","Autres créances immobilisées - 266","2667","266",0,"Fixed Asset","Asset","TND"
"Autres créances non courantes - 2668","Autres créances immobilisées - 266","2668","266",0,"Fixed Asset","Asset","TND"
"Versements restant à effectuer sur titres immobilisés non libérés - 269","Autres immobilisations financières - 26","269","26",0,"Fixed Asset","Asset","TND"
"Frais préliminaires - 271","Autres actifs non courants - 27","271","27",0,"Current Asset","Asset","TND"
"Charges à répartir - 272","Autres actifs non courants - 27","272","27",0,"Current Asset","Asset","TND"
"Frais d'émission et primes de remboursement des emprunts - 273","Autres actifs non courants - 27","273","27",0,"Current Asset","Asset","TND"
"Écarts de conversion - 275","Autres actifs non courants - 27","275","27",0,"Current Asset","Asset","TND"
"Autres - 278","Autres actifs non courants - 27","278","27",0,"Current Asset","Asset","TND"
"Amortissements des immobilisations incorporelles (même ventilation que celle du compte 21) - 281","Amortissements des immobilisations - 28","281","28",0,"Accumulated Depreciation","Asset","TND"
"Amortissements des immobilisations corporelles (même ventilation que celle du compte 22) - 282","Amortissements des immobilisations - 28","282","28",0,"Accumulated Depreciation","Asset","TND"
"Amortissements des immobilisations à statut juridique particulier - 284","Amortissements des immobilisations - 28","284","28",0,"Accumulated Depreciation","Asset","TND"
"Provisions pour dépréciation des immobilisations incorporelles (même ventilation que celle du compte 21) - 291","Provisions pour dépréciation des immobilisations - 29","291","29",0,"Accumulated Depreciation","Asset","TND"
"Provisions pour dépréciation des immobilisations corporelles (même ventilation que celle du compte 22) - 292","Provisions pour dépréciation des immobilisations - 29","292","29",0,"Accumulated Depreciation","Asset","TND"
"Provisions pour dépréciation des immobilisations en cours (même ventilation que celle du compte 23) - 293","Provisions pour dépréciation des immobilisations - 29","293","29",0,"Accumulated Depreciation","Asset","TND"
"Provisions pour dépréciation des immobilisations à statut juridique particulier - 294","Provisions pour dépréciation des immobilisations - 29","294","29",0,"Accumulated Depreciation","Asset","TND"
"Provisions pour dépréciation des participations et des créances liées à des participations (même ventilation que celle du compte 25) - 295","Provisions pour dépréciation des immobilisations - 29","295","29",0,"Accumulated Depreciation","Asset","TND"
"Provisions pour dépréciation des autres immobilisations financières (même ventilation que celle du compte 26) - 296","Provisions pour dépréciation des immobilisations - 29","296","29",0,"Accumulated Depreciation","Asset","TND"
"Matières premières - 311","Matières premières & fournitures liées - 31","311","31",0,"Stock","Asset","TND"
"Fournitures - 313","Matières premières & fournitures liées - 31","313","31",0,"Stock","Asset","TND"
"Autres - 317","Matières premières & fournitures liées - 31","317","31",0,"Stock","Asset","TND"
"Matières consommables - 321","Autres approvisionnements - 32","321","32",0,"Stock","Asset","TND"
"Fournitures consommables - 322","Autres approvisionnements - 32","322","32",0,"Stock","Asset","TND"
"Emballages - 326","Autres approvisionnements - 32","326","32",0,"Stock","Asset","TND"
"Autres - 327","Autres approvisionnements - 32","327","32",0,"Stock","Asset","TND"
"Produits en cours - 331","En-cours de production de biens - 33","331","33",0,"Stock","Asset","TND"
"Travaux en cours - 335","En-cours de production de biens - 33","335","33",0,"Stock","Asset","TND"
"Études en cours - 341","En-cours de production de services - 34","341","34",0,"Stock","Asset","TND"
"Prestations de services en cours - 345","En-cours de production de services - 34","345","34",0,"Stock","Asset","TND"
"Produits intermédiaires - 351","Stocks de produits - 35","351","35",0,"Stock","Asset","TND"
"Produits finis - 355","Stocks de produits - 35","355","35",0,"Stock","Asset","TND"
"Produits résiduels - 357","Stocks de produits - 35","357","35",0,"Stock","Asset","TND"
"Fournisseurs d'exploitation - 401","Fournisseurs & comptes rattachés - 40","401","40",1,"","Liability","TND"
"Fournisseurs - achats de biens ou de prestations de services - 4011","Fournisseurs d'exploitation - 401","4011","401",0,"Payable","Liability","TND"
"Fournisseurs - retenues de garantie - 4017","Fournisseurs d'exploitation - 401","4017","401",0,"Payable","Liability","TND"
"Fournisseurs d'immobilisations - 404","Fournisseurs & comptes rattachés - 40","404","40",1,"","Liability","TND"
"Fournisseurs - achats d'immobilisations - 4041","Fournisseurs d'immobilisations - 404","4041","404",0,"Payable","Liability","TND"
"Fournisseurs d'immobilisations - retenues de garantie - 4047","Fournisseurs d'immobilisations - 404","4047","404",0,"Payable","Liability","TND"
"Fournisseurs - factures non parvenues - 408","Fournisseurs & comptes rattachés - 40","408","40",1,"","Liability","TND"
"Fournisseurs d'exploitation - 4081","Fournisseurs - factures non parvenues - 408","4081","408",0,"Payable","Liability","TND"
"Fournisseurs d'immobilisations - 4084","Fournisseurs - factures non parvenues - 408","4084","408",0,"Payable","Liability","TND"
"Fournisseurs - intérêts courus - 4088","Fournisseurs - factures non parvenues - 408","4088","408",0,"Payable","Liability","TND"
"Fournisseurs - autres avoirs - 4097","Fournisseurs débiteurs - 409","4097","409",1,"","Asset","TND"
"Fournisseurs d'exploitation - 40971","Fournisseurs - autres avoirs - 4097","40971","4097",0,"Receivable","Asset","TND"
"Fournisseurs d'immobilisations - 40974","Fournisseurs - autres avoirs - 4097","40974","4097",0,"Receivable","Asset","TND"
"Clients - 411","Clients & comptes rattachés - 41","411","41",1,"","Asset","TND"
"Clients - ventes de biens ou de prestations de services - 4111","Clients - 411","4111","411",0,"Receivable","Asset","TND"
"Clients - retenues de garantie - 4117","Clients - 411","4117","411",0,"Receivable","Asset","TND"
"Clients - produits non encore facturés (produits à recevoir) - 418","Clients & comptes rattachés - 41","418","41",1,"","Asset","TND"
"Factures à établir - 4181","Clients - produits non encore facturés (produits à recevoir) - 418","4181","418",0,"Receivable","Asset","TND"
"Intérêts courus - 4188","Clients - produits non encore facturés (produits à recevoir) - 418","4188","418",0,"Receivable","Asset","TND"
"Personnel - charges à payer & produits à recevoir - 428","Personnel et comptes rattachés - 42","428","42",1,"","Liability","TND"
"Dettes provisionnées pour congés à payer - 4282","Personnel - charges à payer & produits à recevoir - 428","4282","428",0,"Liability","Liability","TND"
"Autres charges à payer - 4286","Personnel - charges à payer & produits à recevoir - 428","4286","428",0,"Liability","Liability","TND"
"Produits à recevoir - 4287","Personnel - charges à payer & produits à recevoir - 428","4287","428",0,"Liability","Liability","TND"
"Etat - impôts sur les bénéfices - 434","Etat et collectivités publiques - 43","434","43",1,"","Liability","TND"
"Retenue à la source - 4341","Etat - impôts sur les bénéfices - 434","4341","434",0,"Liability","Liability","TND"
"Acomptes provisionnels - 4342","Etat - impôts sur les bénéfices - 434","4342","434",0,"Liability","Liability","TND"
"Impôt à liquider - 4343","Etat - impôts sur les bénéfices - 434","4343","434",0,"Liability","Liability","TND"
"Impôts différés - 4349","Etat - impôts sur les bénéfices - 434","4349","434",0,"Liability","Liability","TND"
"Taxes sur le chiffre d'affaires à décaisser - 4365","Etat - taxes sur le chiffre d'affaires - 436","4365","436",1,"Tax","Liability","TND"
"TVA à payer - 43651","Taxes sur le chiffre d'affaires à décaisser - 4365","43651","4365",0,"Tax","Liability","TND"
"Autres taxes sur le chiffre d'affaires - 43658","Taxes sur le chiffre d'affaires à décaisser - 4365","43658","4365",0,"Tax","Liability","TND"
"Taxes sur le chiffre d'affaires collectées par l'entreprise - 4367","Etat - taxes sur le chiffre d'affaires - 436","4367","436",1,"Tax","Liability","TND"
"TVA collectée - 43671","Taxes sur le chiffre d'affaires collectées par l'entreprise - 4367","43671","4367",1,"Tax","Liability","TND"
